feature,importance,signed_coefficient,direction
gender_2.0,1.9286525293893708,1.9286525293893708,increases_predicted_risk
parent_osteoporosis_history_1.0,1.4390824895577459,1.4390824895577459,increases_predicted_risk
other_bone_fracture_after_20_1.0,0.6732169578465672,0.6732169578465672,increases_predicted_risk
age,0.6640160002558636,0.6640160002558636,increases_predicted_risk
long_term_steroid_use_1.0,0.6470055360257295,0.6470055360257295,increases_predicted_risk
race_ethnicity_1.0,0.35628694586760823,-0.35628694586760823,decreases_predicted_risk
moderate_work_activity_1.0,0.3373630740570129,-0.3373630740570129,decreases_predicted_risk
weight_kg,0.3261558793620834,-0.3261558793620834,decreases_predicted_risk
vigorous_recreation_1.0,0.3041425927742343,-0.3041425927742343,decreases_predicted_risk
hip_cm,0.26287145114900945,-0.26287145114900945,decreases_predicted_risk
race_ethnicity_6.0,0.26224881097053143,0.26224881097053143,increases_predicted_risk
mother_hip_fracture_1.0,0.25571308756368394,-0.25571308756368394,decreases_predicted_risk
alcohol_frequency_2.0,0.2521096139915975,-0.2521096139915975,decreases_predicted_risk
waist_cm,0.24040725400612542,0.24040725400612542,increases_predicted_risk
walk_or_bicycle_1.0,0.2393968062215877,0.2393968062215877,increases_predicted_risk
bmi,0.21603431689610864,0.21603431689610864,increases_predicted_risk
vigorous_work_activity_1.0,0.19588953117101232,0.19588953117101232,increases_predicted_risk
smoked_100_cigarettes_1.0,0.13457586428447738,0.13457586428447738,increases_predicted_risk
height_cm,0.132356161319761,-0.132356161319761,decreases_predicted_risk
sedentary_minutes,0.12770002339312317,0.12770002339312317,increases_predicted_risk
race_ethnicity_4.0,0.05827623549729384,-0.05827623549729384,decreases_predicted_risk
alcohol_drinks_per_day,0.05241246219453584,0.05241246219453584,increases_predicted_risk
race_ethnicity_2.0,0.03525304416986615,0.03525304416986615,increases_predicted_risk
race_ethnicity_3.0,0.02707623653288951,-0.02707623653288951,decreases_predicted_risk
father_hip_fracture_1.0,0.016929060274798725,0.016929060274798725,increases_predicted_risk
moderate_recreation_1.0,0.015711330954501945,-0.015711330954501945,decreases_predicted_risk
