rank,feature,mean_abs_shap_value
1,gender_2.0,0.9706265296225348
2,age,0.5219016327418435
3,parent_osteoporosis_history_1.0,0.2789901253103481
4,other_bone_fracture_after_20_1.0,0.27776931679328115
5,weight_kg,0.25585001609678004
6,hip_cm,0.22015307637758322
7,waist_cm,0.196719009573229
8,bmi,0.17025141395813162
9,moderate_work_activity_1.0,0.1644532531483443
10,sedentary_minutes,0.10658434531391858
11,height_cm,0.10212752803214993
12,long_term_steroid_use_1.0,0.07867587316793061
13,walk_or_bicycle_1.0,0.06942507380937325
14,smoked_100_cigarettes_1.0,0.06836453906900704
15,vigorous_work_activity_1.0,0.065400984806992
16,race_ethnicity_1.0,0.06030750369841357
17,vigorous_recreation_1.0,0.058841453615124086
18,mother_hip_fracture_1.0,0.0538702237802513
19,race_ethnicity_6.0,0.0486034463203978
20,alcohol_frequency_2.0,0.040640069789149046
21,alcohol_drinks_per_day,0.03909732428060779
22,race_ethnicity_4.0,0.02350474831151936
23,race_ethnicity_3.0,0.013444253912820846
24,moderate_recreation_1.0,0.007211500878541057
25,race_ethnicity_2.0,0.005090539591827718
26,father_hip_fracture_1.0,0.0008261381634876113
